id,title,description,create_time,status,assignee_id,priority,due_time
37,استقرار نسخه موبایل,انتشار نسخه Android جدید,2026/03/18,Done,37,Critical,2026/03/25
38,ممیزی مالی پروژه ها,کنترل هزینه های جاری,2026/03/20,Done,38,Medium,2026/03/30
39,رفع باگ API پرداخت,اصلاح خطای ثبت تراکنش,2026/03/22,Done,39,Critical,2026/03/28
40,تحلیل نرخ تبدیل کاربران,بررسی Funnel محصول,2026/03/25,Done,40,Medium,2026/04/05
41,پیاده سازی سیستم RBAC,مدیریت سطح دسترسی کاربران,2026/03/28,Open,41,High,2026/06/25
42,بررسی رضایت مشتریان,تحلیل نتایج نظرسنجی,2026/04/01,In Progress,42,Medium,2026/06/15
43,استقرار کلاستر جدید,افزایش ظرفیت زیرساخت,2026/04/02,Open,43,Critical,2026/06/12
44,تهیه گزارش حسابرسی,جمع بندی مستندات مالی,2026/04/05,Review,44,High,2026/06/06
45,برنامه ریزی استخدام تابستان,تعیین نیازهای جذب نیرو,2026/04/07,Open,45,Medium,2026/06/20
46,طراحی سیستم امتیازدهی کاربران,تعریف قوانین و سناریوها,2026/04/10,Open,46,High,2026/06/22
47,توسعه Agent هوش مصنوعی,پیاده سازی Agent سازمانی,2026/04/12,In Progress,47,Critical,2026/06/30
48,رسیدگی به تیکت های باز,کاهش حجم تیکت های معوق,2026/04/15,Open,48,Medium,2026/06/18
49,استقرار سرویس پردازش فایل,راه اندازی سرویس جدید,2026/04/18,Open,49,High,2026/06/28
50,تهیه گزارش مالی سه ماهه,آماده سازی گزارش مدیریتی,2026/04/20,In Progress,50,Medium,2026/06/15
51,پیاده سازی لاگ متمرکز,تجمیع لاگ سرویس ها در زیرساخت مرکزی,2026/04/21,In Progress,1,High,2026/06/20
52,بهینه سازی سرویس کاربران,کاهش زمان پاسخ API کاربران,2026/04/22,Review,2,High,2026/06/10
53,طراحی فرآیند آنبوردینگ مشتری,مستندسازی مراحل ورود مشتری جدید,2026/04/23,Done,3,Medium,2026/05/05
54,بازنگری اهداف فصل دوم,بررسی شاخص های عملکرد سازمان,2026/04/24,Done,4,Low,2026/05/01
55,بررسی تیکت های SLA نقض شده,تحلیل موارد خارج از توافق سطح خدمت,2026/04/25,Done,5,Medium,2026/05/03
56,استقرار سرویس گزارش گیری,انتشار سرویس جدید در محیط عملیاتی,2026/04/26,Done,6,High,2026/05/04
57,تحلیل هزینه زیرساخت ابری,بررسی مصرف منابع و هزینه ها,2026/04/27,Done,7,Medium,2026/05/10
58,پیاده سازی Rate Limiting,افزودن محدودیت نرخ درخواست ها,2026/04/28,Open,8,High,2026/06/25
59,طراحی صفحه تنظیمات حساب,تعریف تجربه کاربری جدید,2026/04/29,Review,9,Medium,2026/06/08
60,توسعه سرویس ارسال ایمیل,پیاده سازی Email Service مستقل,2026/05/01,In Progress,10,High,2026/06/18
61,رسیدگی به درخواست های ویژه مشتریان,پیگیری نیازهای اختصاصی,2026/05/02,Done,11,Medium,2026/05/12
62,استقرار نسخه پشتیبان سیستم,راه اندازی محیط Disaster Recovery,2026/05/03,Done,12,Critical,2026/05/15
63,بررسی عملکرد مدیران واحدها,ارزیابی گزارش های عملکرد,2026/05/04,Done,13,Low,2026/05/18
64,تهیه گزارش درآمد ماهانه,جمع بندی درآمدهای ثبت شده,2026/05/05,Done,14,Medium,2026/05/20
65,پیاده سازی API مدیریت فایل,افزودن قابلیت آپلود و دانلود فایل,2026/05/06,In Progress,15,High,2026/06/28
66,تحلیل بازخورد مشتریان,دسته بندی پیشنهادات کاربران,2026/05/07,Done,16,Medium,2026/05/22
67,مهاجرت پایگاه داده گزارشات,انتقال دیتابیس به سرور جدید,2026/05/08,Review,17,Critical,2026/06/05
68,بهبود فرآیند پاسخگویی,کاهش زمان پاسخ تیم پشتیبانی,2026/05/09,Done,18,Medium,2026/05/25
69,رفع خطای همگام سازی داده ها,اصلاح مشکل تبادل اطلاعات,2026/05/10,Done,19,High,2026/05/17
70,بررسی هزینه های عملیاتی,تحلیل هزینه سرویس های جاری,2026/05/11,Done,20,Medium,2026/05/28
71,تهیه گزارش عملکرد فصل بهار,ارزیابی خروجی تیم ها,2026/05/12,Done,21,Low,2026/05/30
72,طراحی قابلیت یادداشت گذاری,تعریف نیازمندی های محصول,2026/05/13,Done,22,Medium,2026/05/31
73,پیاده سازی جستجوی کاربران,افزودن فیلترهای جدید,2026/05/14,Review,23,High,2026/06/07
74,رسیدگی به درخواست های مشتریان کلیدی,پیگیری مشکلات ثبت شده,2026/05/15,Done,24,Medium,2026/05/25
75,استقرار سرویس احراز هویت,انتشار نسخه جدید سرویس,2026/05/16,Done,25,High,2026/05/29
76,ممیزی تراکنش های مالی,کنترل صحت اطلاعات مالی,2026/05/17,Done,26,Medium,2026/05/31
77,بهینه سازی ایندکس های دیتابیس,افزایش کارایی کوئری ها,2026/05/18,Open,27,Critical,2026/06/30
78,تحلیل نرخ بازگشت کاربران,بررسی رفتار مشتریان,2026/05/19,Done,28,Medium,2026/06/02
79,پیاده سازی Queue پردازش,ایجاد صف پردازش غیرهمزمان,2026/05/20,In Progress,29,High,2026/06/25
80,بررسی درخواست های معوق,اولویت بندی موارد باز,2026/05/21,Done,30,Medium,2026/05/29
81,استقرار سامانه مانیتورینگ لاگ,راه اندازی سیستم مشاهده لاگ,2026/05/22,Review,31,High,2026/06/09
82,تهیه پیش بینی بودجه تابستان,برآورد هزینه های فصل آینده,2026/05/23,Done,32,Medium,2026/06/05
83,بررسی ساختار تیم توسعه,ارزیابی نیازهای فنی,2026/05/24,Done,33,Low,2026/06/10
84,طراحی قابلیت مدیریت تیم ها,تعریف سناریوهای جدید محصول,2026/05/25,Open,34,Medium,2026/06/26
85,پیاده سازی API اعلان ها,توسعه سرویس Notification,2026/05/26,In Progress,35,High,2026/06/29
86,پاسخ به مشتریان راهبردی,پیگیری درخواست های سازمانی,2026/05/27,Done,36,Medium,2026/06/02
87,استقرار نسخه جدید Backend,انتشار تغییرات زیرساختی,2026/05/28,Open,37,Critical,2026/06/27
88,تهیه گزارش سود و زیان,جمع بندی عملکرد مالی,2026/05/29,Review,38,Medium,2026/06/08
89,رفع خطای پردازش پرداخت,اصلاح مشکل در سرویس مالی,2026/05/30,Done,39,Critical,2026/06/04
90,تحلیل شاخص های محصول,بررسی KPI های اصلی,2026/05/31,Done,40,Medium,2026/06/06
91,پیاده سازی سیستم مجوزها,مدیریت نقش ها و دسترسی ها,2026/06/01,Open,41,High,2026/07/05
92,بررسی کیفیت خدمات پشتیبانی,تحلیل رضایت مشتریان,2026/06/02,In Progress,42,Medium,2026/06/30
93,استقرار زیرساخت Kubernetes,راه اندازی کلاستر عملیاتی,2026/06/03,Open,43,Critical,2026/07/10
94,تهیه گزارش حسابرسی داخلی,بررسی اسناد و مدارک,2026/06/04,Review,44,High,2026/06/20
95,برنامه ریزی جذب نیروهای فنی,تعیین ظرفیت های استخدام,2026/06/05,Open,45,Medium,2026/07/01
96,طراحی سیستم امتیازدهی مشتریان,تعریف قواعد کسب و کار,2026/06/06,In Progress,46,High,2026/07/05
97,توسعه Agent پاسخگوی داخلی,پیاده سازی Agent مبتنی بر LLM,2026/06/07,Open,47,Critical,2026/07/15
98,رسیدگی به تیکت های سطح یک,بررسی درخواست های روزانه,2026/06/08,Done,48,Medium,2026/06/12
99,استقرار سرویس پردازش رویداد,راه اندازی Event Processing Service,2026/06/09,Open,49,High,2026/07/08
100,تهیه گزارش مالی نیم سال اول,آماده سازی گزارش مدیریتی,2026/06/10,In Progress,50,Medium,2026/07/01
101,پیاده سازی سیستم Audit Log,ثبت رویدادهای حساس کاربران,2026/06/11,Open,1,High,2026/07/12
102,بهینه سازی Cache سرویس سفارشات,کاهش بار پایگاه داده,2026/06/11,In Progress,2,High,2026/07/05
103,طراحی قابلیت آرشیو پروژه ها,تعریف نیازمندی ها و سناریوها,2026/06/12,Review,3,Medium,2026/06/30
104,بررسی عملکرد واحدهای سازمان,تحلیل شاخص های مدیریتی,2026/06/12,Done,4,Low,2026/06/20
105,پاسخگویی به مشتریان ویژه,مدیریت درخواست های VIP,2026/06/13,In Progress,5,Medium,2026/07/01
106,استقرار سرویس مدیریت فایل,انتشار نسخه جدید سرویس,2026/06/13,Review,6,High,2026/06/25
107,تهیه گزارش جریان نقدی,بررسی وضعیت نقدینگی شرکت,2026/06/14,Done,7,Medium,2026/06/28
108,پیاده سازی OAuth2,افزودن ورود با سرویس های ثالث,2026/06/14,Open,8,Critical,2026/07/15
109,طراحی صفحه مدیریت اعلان ها,بهبود تجربه مدیریت پیام ها,2026/06/15,Review,9,Medium,2026/07/02
110,توسعه API مدیریت کاربران,افزودن عملیات مدیریتی جدید,2026/06/15,In Progress,10,High,2026/07/08
111,تحلیل دلایل نارضایتی مشتریان,بررسی داده های نظرسنجی,2026/06/16,Done,11,Medium,2026/06/26
112,استقرار سامانه پشتیبان گیری,راه اندازی Backup خودکار,2026/06/16,Open,12,High,2026/07/10
113,برنامه ریزی اهداف فصل پاییز,تعیین شاخص های کلیدی,2026/06/17,Done,13,Low,2026/06/30
114,تهیه گزارش مالی پروژه ها,بررسی هزینه و درآمد پروژه ها,2026/06/17,Review,14,Medium,2026/07/03
115,پیاده سازی Export اکسل,امکان خروجی گرفتن از گزارشات,2026/06/18,In Progress,15,High,2026/07/10
116,تحلیل قابلیت های درخواستی مشتریان,اولویت بندی نیازمندی ها,2026/06/18,Done,16,Medium,2026/06/29
117,مهاجرت سرویس احراز هویت,انتقال به زیرساخت جدید,2026/06/19,Open,17,Critical,2026/07/20
118,بهبود فرآیند پاسخگویی تیکت ها,کاهش زمان رسیدگی,2026/06/19,Done,18,Medium,2026/06/30
119,رفع خطای همزمانی در پرداخت,اصلاح Race Condition موجود,2026/06/20,Review,19,Critical,2026/07/05
120,کنترل مغایرت حساب ها,بررسی اختلافات مالی ثبت شده,2026/06/20,Done,20,Medium,2026/07/01
121,بررسی عملکرد مدیران پروژه,تحلیل وضعیت پیشرفت پروژه ها,2026/06/21,Done,21,Low,2026/07/02
122,طراحی قابلیت اشتراک فایل,تعریف نیازمندی های محصول,2026/06/21,Open,22,Medium,2026/07/15
123,پیاده سازی فیلترهای پیشرفته,افزودن قابلیت های جستجو,2026/06/22,In Progress,23,High,2026/07/12
124,پاسخ به مشتریان سازمانی,پیگیری درخواست های ثبت شده,2026/06/22,Done,24,Medium,2026/07/01
125,استقرار سرویس گزارش ساز,انتشار سرویس در محیط Production,2026/06/23,Review,25,High,2026/07/04
126,ممیزی تراکنش های بین سیستمی,کنترل تبادل اطلاعات مالی,2026/06/23,Done,26,Medium,2026/07/05
127,بهینه سازی Stored Procedure ها,کاهش زمان اجرای گزارشات,2026/06/24,Open,27,Critical,2026/07/18
128,تحلیل نرخ حفظ مشتریان,بررسی رفتار بلندمدت کاربران,2026/06/24,Done,28,Medium,2026/07/03
129,پیاده سازی Event Bus,طراحی ارتباط سرویس ها,2026/06/25,In Progress,29,High,2026/07/20
130,بررسی درخواست های پشتیبانی باز,اولویت بندی موارد موجود,2026/06/25,Done,30,Medium,2026/07/02
131,استقرار سیستم مانیتورینگ API,پایش سلامت سرویس ها,2026/06/26,Open,31,High,2026/07/16
132,تهیه بودجه فصل پاییز,پیش بینی هزینه های آتی,2026/06/26,Review,32,Medium,2026/07/08
133,ارزیابی ساختار تیم فنی,بررسی ظرفیت توسعه تیم,2026/06/27,Done,33,Low,2026/07/05
134,طراحی قابلیت مدیریت مجوزها,تعریف سناریوهای دسترسی,2026/06/27,Open,34,Medium,2026/07/17
135,توسعه API تنظیمات سیستم,افزودن Endpoint های جدید,2026/06/28,In Progress,35,High,2026/07/21
136,مدیریت درخواست های مشتریان کلیدی,پیگیری نیازهای ویژه,2026/06/28,Done,36,Medium,2026/07/04
137,استقرار نسخه جدید Frontend,انتشار تغییرات رابط کاربری,2026/06/29,Review,37,High,2026/07/07
138,تهیه گزارش سودآوری مشتریان,تحلیل درآمد مشتریان,2026/06/29,Done,38,Medium,2026/07/10
139,رفع خطای پردازش صورتحساب,اصلاح مشکل صدور فاکتور,2026/06/30,Open,39,Critical,2026/07/12
140,تحلیل عملکرد قابلیت های جدید,بررسی میزان استفاده کاربران,2026/06/30,Done,40,Medium,2026/07/08
141,پیاده سازی مدیریت نشست کاربران,کنترل Session های فعال,2026/07/01,In Progress,41,High,2026/07/25
142,بررسی کیفیت پاسخگویی تیم پشتیبانی,تحلیل شاخص های SLA,2026/07/01,Done,42,Medium,2026/07/10
143,استقرار سامانه CI/CD جدید,بهبود فرآیند انتشار نرم افزار,2026/07/02,Open,43,Critical,2026/07/28
144,تهیه گزارش انطباق مالی,بررسی الزامات حسابرسی,2026/07/02,Review,44,High,2026/07/14
145,برنامه ریزی جذب کارشناس محصول,تعریف نیازهای استخدامی,2026/07/03,Done,45,Medium,2026/07/15
146,طراحی سیستم امتیازدهی داخلی,تعریف شاخص های ارزیابی,2026/07/03,Open,46,Medium,2026/07/22
147,توسعه Agent تحلیل گزارشات,پیاده سازی Agent مبتنی بر LLM,2026/07/04,In Progress,47,Critical,2026/07/30
148,رسیدگی به تیکت های معوق,بستن درخواست های قدیمی,2026/07/04,Done,48,Medium,2026/07/11
149,استقرار سرویس پردازش پیام,راه اندازی Message Processing Service,2026/07/05,Open,49,High,2026/07/26
150,تهیه گزارش عملکرد شش ماهه,ارائه گزارش مدیریتی,2026/07/05,Review,50,Medium,2026/07/18
